dates,ticker,variable,value
1991-09-30,AUD,px,0.7975
1991-09-30,AUD,ir_diff,
1991-09-30,CAD,px,0.8835483300936562
1991-09-30,CAD,ir_diff,
1991-09-30,CHF,px,0.6901311249137336
1991-09-30,CHF,ir_diff,
1991-09-30,EUR,px,1.2544
1991-09-30,EUR,ir_diff,
1991-09-30,GBP,px,1.751
1991-09-30,GBP,ir_diff,
1991-09-30,JPY,px,0.0075272864132480246
1991-09-30,JPY,ir_diff,
1991-09-30,NOK,px,0.1537042729787888
1991-09-30,NOK,ir_diff,
1991-09-30,NZD,px,0.567
1991-09-30,NZD,ir_diff,
1991-09-30,SEK,px,0.1647853670594051
1991-09-30,SEK,ir_diff,
1991-10-31,AUD,px,0.7834
1991-10-31,AUD,ir_diff,3.8808000000000007
1991-10-31,CAD,px,0.8904719501335708
1991-10-31,CAD,ir_diff,2.625
1991-10-31,CHF,px,0.68259385665529
1991-10-31,CHF,ir_diff,2.625
1991-10-31,EUR,px,1.2461
1991-10-31,EUR,ir_diff,4.375
1991-10-31,GBP,px,1.7392
1991-10-31,GBP,ir_diff,4.6875
1991-10-31,JPY,px,0.007656967840735069
1991-10-31,JPY,ir_diff,1.0
1991-10-31,NOK,px,0.15304560759106214
1991-10-31,NOK,ir_diff,5.105
1991-10-31,NZD,px,0.5575
1991-10-31,NZD,ir_diff,2.2828
1991-10-31,SEK,px,0.16454134101192924
1991-10-31,SEK,ir_diff,5.074999999999999
1991-11-29,AUD,px,0.7848
1991-11-29,AUD,ir_diff,3.1807999999999996
1991-11-29,CAD,px,0.8810572687224669
1991-11-29,CAD,ir_diff,2.4375
1991-11-29,CHF,px,0.6963788300835655
1991-11-29,CHF,ir_diff,3.0
1991-11-29,EUR,px,1.2767
1991-11-29,EUR,ir_diff,4.625
1991-11-29,GBP,px,1.7679
1991-11-29,GBP,ir_diff,5.1875
1991-11-29,JPY,px,0.007687576875768757
1991-11-29,JPY,ir_diff,0.9375
1991-11-29,NOK,px,0.1564945226917058
1991-11-29,NOK,ir_diff,5.077500000000001
1991-11-29,NZD,px,0.5614
1991-11-29,NZD,ir_diff,2.6997
1991-11-29,SEK,px,0.16788382439351968
1991-11-29,SEK,ir_diff,5.9375
1991-12-31,AUD,px,0.7622
1991-12-31,AUD,ir_diff,3.3575
1991-12-31,CAD,px,0.8652015919709293
1991-12-31,CAD,ir_diff,2.5004999999999997
1991-12-31,CHF,px,0.7344840249724569
1991-12-31,CHF,ir_diff,3.1875
1991-12-31,EUR,px,1.3656
1991-12-31,EUR,ir_diff,5.4375
1991-12-31,GBP,px,1.8707
1991-12-31,GBP,ir_diff,5.6875
1991-12-31,JPY,px,0.008006405124099279
1991-12-31,JPY,ir_diff,1.25
1991-12-31,NOK,px,0.1670843776106934
1991-12-31,NOK,ir_diff,5.4025
1991-12-31,NZD,px,0.5403
1991-12-31,NZD,ir_diff,3.126899999999999
1991-12-31,SEK,px,0.18001800180018002
1991-12-31,SEK,ir_diff,7.0625
1992-01-31,AUD,px,0.7509
1992-01-31,AUD,ir_diff,3.2874999999999996
1992-01-31,CAD,px,0.8509189925119128
1992-01-31,CAD,ir_diff,3.0555000000000003
1992-01-31,CHF,px,0.6997900629811057
1992-01-31,CHF,ir_diff,3.8125
1992-01-31,EUR,px,1.2974
1992-01-31,EUR,ir_diff,6.3125
1992-01-31,GBP,px,1.7875
1992-01-31,GBP,ir_diff,6.6875
1992-01-31,JPY,px,0.007964954201513342
1992-01-31,JPY,ir_diff,1.375
1992-01-31,NOK,px,0.15862944162436549
1992-01-31,NOK,ir_diff,6.4175
1992-01-31,NZD,px,0.5395
1992-01-31,NZD,ir_diff,3.2874999999999996
1992-01-31,SEK,px,0.17129153819801302
1992-01-31,SEK,ir_diff,9.3625
1992-02-28,AUD,px,0.755
1992-02-28,AUD,ir_diff,3.3817000000000004
1992-02-28,CAD,px,0.8460236886632826
1992-02-28,CAD,ir_diff,2.9995000000000003
1992-02-28,CHF,px,0.6736274840013473
1992-02-28,CHF,ir_diff,3.3125
1992-02-28,EUR,px,1.2732
1992-02-28,EUR,ir_diff,6.25
1992-02-28,GBP,px,1.7577
1992-02-28,GBP,ir_diff,6.5
1992-02-28,JPY,px,0.007742934572202865
1992-02-28,JPY,ir_diff,1.0
1992-02-28,NOK,px,0.1557996416608242
1992-02-28,NOK,ir_diff,6.5625
1992-02-28,NZD,px,0.5463
1992-02-28,NZD,ir_diff,3.2539
1992-02-28,SEK,px,0.16842105263157894
1992-02-28,SEK,ir_diff,8.2125
1992-03-31,AUD,px,0.7705
1992-03-31,AUD,ir_diff,3.2333
1992-03-31,CAD,px,0.8401949252226517
1992-03-31,CAD,ir_diff,3.083
1992-03-31,CHF,px,0.6657789613848203
1992-03-31,CHF,ir_diff,3.375
1992-03-31,EUR,px,1.2647
1992-03-31,EUR,ir_diff,5.8125
1992-03-31,GBP,px,1.7363
1992-03-31,GBP,ir_diff,6.0
1992-03-31,JPY,px,0.007523322299127296
1992-03-31,JPY,ir_diff,1.0
1992-03-31,NOK,px,0.1547029702970297
1992-03-31,NOK,ir_diff,6.1899999999999995
1992-03-31,NZD,px,0.546
1992-03-31,NZD,ir_diff,3.3075
1992-03-31,SEK,px,0.16733601070950468
1992-03-31,SEK,ir_diff,7.85
1992-04-30,AUD,px,0.7566
1992-04-30,AUD,ir_diff,3.2392000000000003
1992-04-30,CAD,px,0.8361204013377926
1992-04-30,CAD,ir_diff,2.9645
1992-04-30,CHF,px,0.6591957811470007
1992-04-30,CHF,ir_diff,4.5625
1992-04-30,EUR,px,1.2615
1992-04-30,EUR,ir_diff,5.875
1992-04-30,GBP,px,1.7769
1992-04-30,GBP,ir_diff,6.5625
1992-04-30,JPY,px,0.007501875468867216
1992-04-30,JPY,ir_diff,0.5
1992-04-30,NOK,px,0.15490666873208891
1992-04-30,NOK,ir_diff,6.0175
1992-04-30,NZD,px,0.5373
1992-04-30,NZD,ir_diff,3.0087
1992-04-30,SEK,px,0.16761649346295676
1992-04-30,SEK,ir_diff,7.4125
1992-05-29,AUD,px,0.7578
1992-05-29,AUD,ir_diff,2.615
1992-05-29,CAD,px,0.8300132802124833
1992-05-29,CAD,ir_diff,2.6775
1992-05-29,CHF,px,0.6867188572998215
1992-05-29,CHF,ir_diff,4.8125
1992-05-29,EUR,px,1.3029
1992-05-29,EUR,ir_diff,6.1875
1992-05-29,GBP,px,1.8297
1992-05-29,GBP,ir_diff,6.5
1992-05-29,JPY,px,0.007827788649706457
1992-05-29,JPY,ir_diff,0.6875
1992-05-29,NOK,px,0.15980823012385137
1992-05-29,NOK,ir_diff,6.327500000000001
1992-05-29,NZD,px,0.5363
1992-05-29,NZD,ir_diff,2.8715
1992-05-29,SEK,px,0.17278617710583155
1992-05-29,SEK,ir_diff,8.0005
1992-06-30,AUD,px,0.7472
1992-06-30,AUD,ir_diff,2.4683
1992-06-30,CAD,px,0.835282325425994
1992-06-30,CAD,ir_diff,2.0945
1992-06-30,CHF,px,0.7274314395868189
1992-06-30,CHF,ir_diff,5.25
1992-06-30,EUR,px,1.3695
1992-06-30,EUR,ir_diff,6.1875
1992-06-30,GBP,px,1.905
1992-06-30,GBP,ir_diff,6.0
1992-06-30,JPY,px,0.007944704854214666
1992-06-30,JPY,ir_diff,0.6875
1992-06-30,NOK,px,0.16753224995811694
1992-06-30,NOK,ir_diff,6.3675
1992-06-30,NZD,px,0.5453
1992-06-30,NZD,ir_diff,2.745
1992-06-30,SEK,px,0.1816695431010991
1992-06-30,SEK,ir_diff,7.637499999999999
1992-07-31,AUD,px,0.7441
1992-07-31,AUD,ir_diff,2.3550000000000004
1992-07-31,CAD,px,0.8448800270361608
1992-07-31,CAD,ir_diff,1.6795
1992-07-31,CHF,px,0.7601672367920943
1992-07-31,CHF,ir_diff,5.25
1992-07-31,EUR,px,1.412
1992-07-31,EUR,ir_diff,6.6875
1992-07-31,GBP,px,1.9275
1992-07-31,GBP,ir_diff,6.1875
1992-07-31,JPY,px,0.007861635220125786
1992-07-31,JPY,ir_diff,0.5625
1992-07-31,NOK,px,0.1716885569576788
1992-07-31,NOK,ir_diff,6.422499999999999
1992-07-31,NZD,px,0.5449
1992-07-31,NZD,ir_diff,2.7257999999999996
1992-07-31,SEK,px,0.18626483133719524
1992-07-31,SEK,ir_diff,7.9125
1992-08-31,AUD,px,0.7154
1992-08-31,AUD,ir_diff,2.0425000000000004
1992-08-31,CAD,px,0.8370302167908261
1992-08-31,CAD,ir_diff,1.8495
1992-08-31,CHF,px,0.799744081893794
1992-08-31,CHF,ir_diff,5.1875
1992-08-31,EUR,px,1.4747
1992-08-31,EUR,ir_diff,7.6875
1992-08-31,GBP,px,1.9884
1992-08-31,GBP,ir_diff,6.9375
1992-08-31,JPY,px,0.008124796880077998
1992-08-31,JPY,ir_diff,0.625
1992-08-31,NOK,px,0.17953321364452424
1992-08-31,NOK,ir_diff,7.1425
1992-08-31,NZD,px,0.5393
1992-08-31,NZD,ir_diff,2.6158
1992-08-31,SEK,px,0.19409184426070417
1992-08-31,SEK,ir_diff,8.9625
1992-09-30,AUD,px,0.7132
1992-09-30,AUD,ir_diff,2.3958000000000004
1992-09-30,CAD,px,0.8025682182985554
1992-09-30,CAD,ir_diff,1.3529999999999998
1992-09-30,CHF,px,0.8085381630012938
1992-09-30,CHF,ir_diff,4.4375
1992-09-30,EUR,px,1.4284
1992-09-30,EUR,ir_diff,7.875
1992-09-30,GBP,px,1.7773
1992-09-30,GBP,ir_diff,7.25
1992-09-30,JPY,px,0.008328475056217206
1992-09-30,JPY,ir_diff,0.4375
1992-09-30,NOK,px,0.17301038062283736
1992-09-30,NOK,ir_diff,8.94
1992-09-30,NZD,px,0.5355
